Date,ProductId,SalesQuantity,Price,Promotion,DayOfWeek,Season
2023-01-06,5,14,435.2,No,Friday,Winter
2023-01-06,6,14,231.03,No,Friday,Winter
2023-01-06,27,22,302.7,No,Friday,Winter
2023-01-06,29,26,352.17,No,Friday,Winter
2023-01-06,34,43,137.6,Yes,Friday,Winter
2023-01-06,42,26,363.99,No,Friday,Winter
2023-01-06,44,32,117.8,No,Friday,Winter
2023-01-07,5,31,435.2,No,Saturday,Winter
2023-01-07,7,40,17.53,No,Saturday,Winter
2023-01-07,23,36,319.08,No,Saturday,Winter
2023-01-07,26,83,202.43,Yes,Saturday,Winter
2023-01-07,27,94,266.36,Yes,Saturday,Winter
2023-01-07,31,36,109.11,No,Saturday,Winter
2023-01-07,32,47,114.83,No,Saturday,Winter
2023-01-07,37,41,109.21,No,Saturday,Winter
2023-01-07,38,38,479.93,No,Saturday,Winter
2023-01-07,42,40,363.99,No,Saturday,Winter
2023-01-07,43,31,51.67,No,Saturday,Winter
2023-01-07,50,65,338.66,Yes,Saturday,Winter
2023-01-08,7,29,17.53,No,Sunday,Winter
2023-01-08,14,34,99.5,No,Sunday,Winter
2023-01-08,15,45,377.76,No,Sunday,Winter
2023-01-08,16,40,176.15,No,Sunday,Winter
2023-01-08,16,36,176.15,No,Sunday,Winter
2023-01-08,19,61,179.77,Yes,Sunday,Winter
2023-01-08,21,32,121.17,No,Sunday,Winter
2023-01-08,24,36,297.91,No,Sunday,Winter
2023-01-08,25,41,183.24,No,Sunday,Winter
2023-01-08,38,45,479.93,No,Sunday,Winter
2023-01-08,40,27,459.32,No,Sunday,Winter
2023-01-08,45,36,14.32,No,Sunday,Winter
2023-01-08,45,38,14.32,No,Sunday,Winter
2023-01-09,4,22,439.81,No,Monday,Winter
2023-01-09,8,31,187.79,Yes,Monday,Winter
2023-01-09,13,23,326.8,No,Monday,Winter
2023-01-09,18,31,33.45,No,Monday,Winter
2023-01-09,21,26,121.17,No,Monday,Winter
2023-01-09,44,25,117.8,No,Monday,Winter
2023-01-10,3,20,294.01,No,Tuesday,Winter
2023-01-10,4,24,439.81,No,Tuesday,Winter
2023-01-10,6,23,231.03,No,Tuesday,Winter
2023-01-10,11,26,329.15,No,Tuesday,Winter
2023-01-10,16,41,139.13,Yes,Tuesday,Winter
2023-01-10,19,23,209.85,No,Tuesday,Winter
2023-01-10,24,22,297.91,No,Tuesday,Winter
2023-01-10,27,36,263.64,Yes,Tuesday,Winter
2023-01-10,33,22,12.84,No,Tuesday,Winter
2023-01-10,34,48,131.2,Yes,Tuesday,Winter
2023-01-10,34,46,127.1,Yes,Tuesday,Winter
2023-01-10,38,8,479.93,No,Tuesday,Winter
2023-01-10,39,29,256.18,No,Tuesday,Winter
2023-01-10,40,19,459.32,No,Tuesday,Winter
2023-01-11,8,43,183.5,Yes,Wednesday,Winter
2023-01-11,14,29,99.5,No,Wednesday,Winter
2023-01-11,16,25,176.15,No,Wednesday,Winter
2023-01-11,17,20,357.85,No,Wednesday,Winter
2023-01-11,18,24,33.45,No,Wednesday,Winter
2023-01-11,34,60,120.13,Yes,Wednesday,Winter
2023-01-11,49,41,150.52,Yes,Wednesday,Winter
2023-01-12,6,22,231.03,No,Thursday,Winter
2023-01-12,10,28,283.3,No,Thursday,Winter
2023-01-12,10,14,283.3,No,Thursday,Winter
2023-01-12,11,23,329.15,No,Thursday,Winter
2023-01-12,11,16,329.15,No,Thursday,Winter
2023-01-12,17,36,357.85,No,Thursday,Winter
2023-01-12,20,55,308.01,Yes,Thursday,Winter
2023-01-12,21,28,121.17,No,Thursday,Winter
2023-01-12,23,41,226.04,Yes,Thursday,Winter
2023-01-12,24,17,297.91,No,Thursday,Winter
2023-01-12,24,34,257.78,Yes,Thursday,Winter
2023-01-12,25,24,183.24,No,Thursday,Winter
2023-01-12,27,48,245.27,Yes,Thursday,Winter
2023-01-12,32,32,114.83,No,Thursday,Winter
2023-01-12,34,24,157.47,No,Thursday,Winter
2023-01-12,38,26,479.93,No,Thursday,Winter
2023-01-12,45,29,14.32,No,Thursday,Winter
2023-01-12,47,26,178.77,No,Thursday,Winter
2023-01-13,3,34,294.01,No,Friday,Winter
2023-01-13,12,19,85.5,No,Friday,Winter
2023-01-13,29,22,352.17,No,Friday,Winter
2023-01-13,31,34,77.32,Yes,Friday,Winter
2023-01-13,32,19,114.83,No,Friday,Winter
2023-01-13,34,48,131.0,Yes,Friday,Winter
2023-01-13,38,55,400.54,Yes,Friday,Winter
2023-01-13,40,18,459.32,No,Friday,Winter
2023-01-13,41,50,319.46,Yes,Friday,Winter
2023-01-13,43,46,44.86,Yes,Friday,Winter
2023-01-13,43,25,51.67,No,Friday,Winter
2023-01-13,43,22,51.67,No,Friday,Winter
2023-01-13,44,58,92.92,Yes,Friday,Winter
2023-01-13,44,24,117.8,No,Friday,Winter
2023-01-13,47,26,178.77,No,Friday,Winter
2023-01-13,50,10,411.47,No,Friday,Winter
2023-01-14,15,45,377.76,No,Saturday,Winter
2023-01-14,17,79,261.68,Yes,Saturday,Winter
2023-01-14,19,32,209.85,No,Saturday,Winter
2023-01-14,24,14,297.91,No,Saturday,Winter
2023-01-14,26,38,246.4,No,Saturday,Winter
2023-01-14,27,32,302.7,No,Saturday,Winter
2023-01-14,30,36,160.06,Yes,Saturday,Winter
2023-01-14,30,43,222.51,No,Saturday,Winter
2023-01-14,45,31,14.32,No,Saturday,Winter
2023-01-14,48,34,395.46,No,Saturday,Winter
2023-01-14,49,31,176.08,No,Saturday,Winter
2023-01-15,10,29,283.3,No,Sunday,Winter
2023-01-15,10,47,283.3,No,Sunday,Winter
2023-01-15,11,56,329.15,No,Sunday,Winter
2023-01-15,22,32,399.69,No,Sunday,Winter
2023-01-15,22,34,399.69,No,Sunday,Winter
2023-01-15,25,90,133.96,Yes,Sunday,Winter
2023-01-15,29,34,352.17,No,Sunday,Winter
2023-01-15,35,54,376.97,No,Sunday,Winter
2023-01-15,40,32,459.32,No,Sunday,Winter
2023-01-16,7,32,17.53,No,Monday,Winter
2023-01-16,8,34,192.81,Yes,Monday,Winter
2023-01-16,8,14,218.96,No,Monday,Winter
2023-01-16,12,46,76.91,Yes,Monday,Winter
2023-01-16,15,31,377.76,No,Monday,Winter
2023-01-16,20,14,355.47,No,Monday,Winter
2023-01-16,24,41,246.41,Yes,Monday,Winter
2023-01-16,29,23,352.17,No,Monday,Winter
2023-01-16,39,19,256.18,No,Monday,Winter
2023-01-16,44,23,117.8,No,Monday,Winter
2023-01-17,6,48,166.51,Yes,Tuesday,Winter
2023-01-17,8,28,218.96,No,Tuesday,Winter
2023-01-17,11,26,329.15,No,Tuesday,Winter
2023-01-17,13,19,326.8,No,Tuesday,Winter
2023-01-17,14,16,99.5,No,Tuesday,Winter
2023-01-17,14,30,99.5,No,Tuesday,Winter
2023-01-17,23,28,319.08,No,Tuesday,Winter
2023-01-17,24,18,297.91,No,Tuesday,Winter
2023-01-17,26,17,246.4,No,Tuesday,Winter
2023-01-17,34,17,157.47,No,Tuesday,Winter
2023-01-17,36,20,399.14,No,Tuesday,Winter
2023-01-17,40,17,459.32,No,Tuesday,Winter
2023-01-17,42,58,292.91,Yes,Tuesday,Winter
2023-01-17,45,53,12.77,Yes,Tuesday,Winter
2023-01-17,50,22,411.47,No,Tuesday,Winter
2023-01-18,12,26,85.5,No,Wednesday,Winter
2023-01-18,15,53,303.1,Yes,Wednesday,Winter
2023-01-18,15,17,377.76,No,Wednesday,Winter
2023-01-18,17,22,357.85,No,Wednesday,Winter
2023-01-18,28,31,241.51,No,Wednesday,Winter
2023-01-18,47,26,178.77,No,Wednesday,Winter
2023-01-18,48,24,395.46,No,Wednesday,Winter
2023-01-19,1,24,268.05,No,Thursday,Winter
2023-01-19,1,35,268.05,No,Thursday,Winter
2023-01-19,5,19,435.2,No,Thursday,Winter
2023-01-19,7,35,17.53,No,Thursday,Winter
2023-01-19,8,29,218.96,No,Thursday,Winter
2023-01-19,8,26,218.96,No,Thursday,Winter
2023-01-19,8,26,218.96,No,Thursday,Winter
2023-01-19,13,18,326.8,No,Thursday,Winter
2023-01-19,15,41,277.59,Yes,Thursday,Winter
2023-01-19,20,23,355.47,No,Thursday,Winter
2023-01-19,22,23,399.69,No,Thursday,Winter
2023-01-19,24,48,266.73,Yes,Thursday,Winter
2023-01-19,28,62,176.55,Yes,Thursday,Winter
2023-01-19,29,25,352.17,No,Thursday,Winter
2023-01-19,34,25,157.47,No,Thursday,Winter
2023-01-19,35,31,376.97,No,Thursday,Winter
2023-01-19,41,20,356.31,No,Thursday,Winter
2023-01-19,47,35,178.77,No,Thursday,Winter
2023-01-20,23,43,279.74,Yes,Friday,Winter
2023-01-20,24,13,297.91,No,Friday,Winter
2023-01-20,31,46,83.32,Yes,Friday,Winter
2023-01-20,33,30,12.84,No,Friday,Winter
2023-01-20,36,24,399.14,No,Friday,Winter
2023-01-20,38,22,479.93,No,Friday,Winter
2023-01-20,41,30,356.31,No,Friday,Winter
2023-01-20,42,17,363.99,No,Friday,Winter
2023-01-20,46,24,360.9,No,Friday,Winter
2023-01-20,48,28,395.46,No,Friday,Winter
2023-01-21,1,31,268.05,No,Saturday,Winter
2023-01-21,2,40,231.26,No,Saturday,Winter
2023-01-21,4,36,439.81,No,Saturday,Winter
2023-01-21,6,49,231.03,No,Saturday,Winter
2023-01-21,19,86,173.5,Yes,Saturday,Winter
2023-01-21,22,32,399.69,No,Saturday,Winter
2023-01-21,23,36,319.08,No,Saturday,Winter
2023-01-21,25,34,183.24,No,Saturday,Winter
2023-01-21,29,40,352.17,No,Saturday,Winter
2023-01-21,46,25,360.9,No,Saturday,Winter
2023-01-21,48,79,354.17,Yes,Saturday,Winter
2023-01-21,49,25,176.08,No,Saturday,Winter
2023-01-22,3,43,294.01,No,Sunday,Winter
2023-01-22,6,40,231.03,No,Sunday,Winter
2023-01-22,7,23,17.53,No,Sunday,Winter
2023-01-22,13,32,326.8,No,Sunday,Winter
2023-01-22,13,36,326.8,No,Sunday,Winter
2023-01-22,17,50,357.85,No,Sunday,Winter
2023-01-22,19,68,165.45,Yes,Sunday,Winter
2023-01-22,21,68,97.89,Yes,Sunday,Winter
2023-01-22,22,34,399.69,No,Sunday,Winter
2023-01-22,23,65,267.04,Yes,Sunday,Winter
2023-01-22,28,47,241.51,No,Sunday,Winter
2023-01-22,32,68,86.21,Yes,Sunday,Winter
2023-01-22,41,38,356.31,No,Sunday,Winter
2023-01-22,44,31,117.8,No,Sunday,Winter
2023-01-22,47,31,178.77,No,Sunday,Winter
2023-01-23,1,20,268.05,No,Monday,Winter
2023-01-23,2,25,231.26,No,Monday,Winter
2023-01-23,3,28,294.01,No,Monday,Winter
2023-01-23,15,50,282.14,Yes,Monday,Winter
2023-01-23,17,22,357.85,No,Monday,Winter
2023-01-23,27,18,302.7,No,Monday,Winter
2023-01-23,36,24,399.14,No,Monday,Winter
2023-01-23,50,25,411.47,No,Monday,Winter
2023-01-24,9,34,219.69,Yes,Tuesday,Winter
2023-01-24,13,20,326.8,No,Tuesday,Winter
2023-01-25,3,23,294.01,No,Wednesday,Winter
2023-01-25,9,28,307.03,No,Wednesday,Winter
2023-01-25,13,20,326.8,No,Wednesday,Winter
2023-01-25,15,22,377.76,No,Wednesday,Winter
2023-01-25,22,48,282.47,Yes,Wednesday,Winter
2023-01-25,22,20,399.69,No,Wednesday,Winter
2023-01-25,23,34,227.94,Yes,Wednesday,Winter
2023-01-25,24,22,297.91,No,Wednesday,Winter
2023-01-25,24,32,297.91,No,Wednesday,Winter
2023-01-25,25,25,183.24,No,Wednesday,Winter
2023-01-25,26,50,195.14,Yes,Wednesday,Winter
2023-01-25,26,25,246.4,No,Wednesday,Winter
2023-01-25,32,28,114.83,No,Wednesday,Winter
2023-01-25,40,29,459.32,No,Wednesday,Winter
2023-01-25,41,46,262.19,Yes,Wednesday,Winter
2023-01-25,42,28,363.99,No,Wednesday,Winter
2023-01-25,45,26,14.32,No,Wednesday,Winter
2023-01-26,1,28,268.05,No,Thursday,Winter
2023-01-26,2,50,173.1,Yes,Thursday,Winter
2023-01-26,10,23,283.3,No,Thursday,Winter
2023-01-26,13,36,254.48,Yes,Thursday,Winter
2023-01-26,16,62,145.51,Yes,Thursday,Winter
2023-01-26,23,24,319.08,No,Thursday,Winter
2023-01-26,25,28,183.24,No,Thursday,Winter
2023-01-26,27,20,302.7,No,Thursday,Winter
2023-01-26,28,38,193.68,Yes,Thursday,Winter
2023-01-26,42,28,363.99,No,Thursday,Winter
2023-01-27,9,50,215.49,Yes,Friday,Winter
2023-01-27,12,20,85.5,No,Friday,Winter
2023-01-27,24,43,233.56,Yes,Friday,Winter
2023-01-27,26,26,246.4,No,Friday,Winter
2023-01-27,27,62,212.24,Yes,Friday,Winter
2023-01-27,40,16,459.32,No,Friday,Winter
2023-01-27,42,29,363.99,No,Friday,Winter
2023-01-27,43,20,51.67,No,Friday,Winter
2023-01-27,47,55,146.16,Yes,Friday,Winter
2023-01-28,4,45,439.81,No,Saturday,Winter
2023-01-28,6,40,231.03,No,Saturday,Winter
2023-01-28,7,36,17.53,No,Saturday,Winter
2023-01-28,15,36,377.76,No,Saturday,Winter
2023-01-28,17,36,357.85,No,Saturday,Winter
2023-01-28,17,34,357.85,No,Saturday,Winter
2023-01-28,18,76,26.47,Yes,Saturday,Winter
2023-01-28,30,36,222.51,No,Saturday,Winter
2023-01-28,41,36,356.31,No,Saturday,Winter
2023-01-28,48,49,395.46,No,Saturday,Winter
2023-01-29,2,83,177.79,Yes,Sunday,Winter
2023-01-29,12,36,85.5,No,Sunday,Winter
2023-01-29,19,36,209.85,No,Sunday,Winter
2023-01-29,19,83,176.48,Yes,Sunday,Winter
2023-01-29,22,54,399.69,No,Sunday,Winter
2023-01-29,24,43,297.91,No,Sunday,Winter
2023-01-29,31,45,109.11,No,Sunday,Winter
2023-01-29,37,58,83.61,Yes,Sunday,Winter
2023-01-29,37,45,109.21,No,Sunday,Winter
2023-01-29,44,36,92.39,Yes,Sunday,Winter
2023-01-29,47,34,178.77,No,Sunday,Winter
2023-01-29,48,25,395.46,No,Sunday,Winter
2023-01-30,9,31,307.03,No,Monday,Winter
2023-01-30,15,43,335.57,Yes,Monday,Winter
2023-01-30,24,24,297.91,No,Monday,Winter
2023-01-30,27,23,302.7,No,Monday,Winter
2023-01-30,29,23,352.17,No,Monday,Winter
2023-01-30,35,23,376.97,No,Monday,Winter
2023-01-30,36,28,399.14,No,Monday,Winter
2023-01-30,48,36,395.46,No,Monday,Winter
2023-01-31,12,36,85.5,No,Tuesday,Winter
2023-01-31,17,19,357.85,No,Tuesday,Winter
2023-01-31,22,55,318.89,Yes,Tuesday,Winter
2023-01-31,23,28,319.08,No,Tuesday,Winter
2023-01-31,27,46,223.54,Yes,Tuesday,Winter
2023-01-31,42,20,363.99,No,Tuesday,Winter
2023-01-31,49,53,128.17,Yes,Tuesday,Winter
2023-02-01,7,41,15.04,Yes,Wednesday,Winter
2023-02-01,10,19,283.3,No,Wednesday,Winter
2023-02-01,19,38,174.4,Yes,Wednesday,Winter
2023-02-01,33,43,9.96,Yes,Wednesday,Winter
2023-02-01,37,29,109.21,No,Wednesday,Winter
2023-02-01,38,13,479.93,No,Wednesday,Winter
2023-02-02,7,35,17.53,No,Thursday,Winter
2023-02-02,10,46,253.8,Yes,Thursday,Winter
2023-02-02,11,29,329.15,No,Thursday,Winter
2023-02-02,12,29,85.5,No,Thursday,Winter
2023-02-02,17,13,357.85,No,Thursday,Winter
2023-02-02,17,25,357.85,No,Thursday,Winter
2023-02-03,22,20,399.69,No,Friday,Winter
2023-02-03,42,23,363.99,No,Friday,Winter
2023-02-03,48,13,395.46,No,Friday,Winter
2023-02-03,49,16,176.08,No,Friday,Winter
2023-02-04,9,29,307.03,No,Saturday,Winter
2023-02-04,17,65,317.18,Yes,Saturday,Winter
2023-02-04,18,38,33.45,No,Saturday,Winter
2023-02-04,21,86,93.48,Yes,Saturday,Winter
2023-02-04,26,49,246.4,No,Saturday,Winter
2023-02-04,28,79,208.9,Yes,Saturday,Winter
2023-02-04,32,32,114.83,No,Saturday,Winter
2023-02-04,33,45,12.84,No,Saturday,Winter
2023-02-04,35,31,376.97,No,Saturday,Winter
2023-02-04,46,38,360.9,No,Saturday,Winter
2023-02-04,47,29,178.77,No,Saturday,Winter
2023-02-05,5,40,435.2,No,Sunday,Winter
2023-02-05,11,58,284.27,Yes,Sunday,Winter
2023-02-05,13,45,326.8,No,Sunday,Winter
2023-02-05,22,31,399.69,No,Sunday,Winter
2023-02-05,22,32,399.69,No,Sunday,Winter
2023-02-05,23,36,319.08,No,Sunday,Winter
2023-02-06,5,26,375.79,Yes,Monday,Winter
2023-02-06,11,25,329.15,No,Monday,Winter
2023-02-06,13,22,233.11,Yes,Monday,Winter
2023-02-06,13,25,326.8,No,Monday,Winter
2023-02-06,28,25,241.51,No,Monday,Winter
2023-02-06,40,22,459.32,No,Monday,Winter
2023-02-06,50,19,411.47,No,Monday,Winter
2023-02-07,15,20,377.76,No,Tuesday,Winter
2023-02-07,17,20,357.85,No,Tuesday,Winter
2023-02-07,25,26,183.24,No,Tuesday,Winter
2023-02-07,39,19,256.18,No,Tuesday,Winter
2023-02-07,40,28,459.32,No,Tuesday,Winter
2023-02-07,44,29,117.8,No,Tuesday,Winter
2023-02-07,46,23,360.9,No,Tuesday,Winter
2023-02-08,3,48,236.72,Yes,Wednesday,Winter
2023-02-08,7,24,17.53,No,Wednesday,Winter
2023-02-08,7,22,17.53,No,Wednesday,Winter
2023-02-08,8,50,156.19,Yes,Wednesday,Winter
2023-02-08,12,14,85.5,No,Wednesday,Winter
2023-02-08,13,25,326.8,No,Wednesday,Winter
2023-02-08,14,25,99.5,No,Wednesday,Winter
2023-02-08,15,26,377.76,No,Wednesday,Winter
2023-02-08,16,22,176.15,No,Wednesday,Winter
2023-02-08,16,30,176.15,No,Wednesday,Winter
2023-02-08,17,32,357.85,No,Wednesday,Winter
2023-02-08,19,46,171.89,Yes,Wednesday,Winter
2023-02-08,21,18,121.17,No,Wednesday,Winter
2023-02-08,24,23,297.91,No,Wednesday,Winter
2023-02-08,25,46,133.94,Yes,Wednesday,Winter
2023-02-08,30,22,222.51,No,Wednesday,Winter
2023-02-08,31,23,109.11,No,Wednesday,Winter
2023-02-08,33,34,12.84,No,Wednesday,Winter
2023-02-08,35,48,332.97,Yes,Wednesday,Winter
2023-02-08,40,22,459.32,No,Wednesday,Winter
2023-02-09,3,13,294.01,No,Thursday,Winter
2023-02-09,6,25,231.03,No,Thursday,Winter
2023-02-09,6,30,231.03,No,Thursday,Winter
2023-02-09,12,25,85.5,No,Thursday,Winter
2023-02-09,21,12,121.17,No,Thursday,Winter
2023-02-09,23,24,319.08,No,Thursday,Winter
2023-02-09,25,24,183.24,No,Thursday,Winter
2023-02-09,25,30,183.24,No,Thursday,Winter
2023-02-09,28,20,241.51,No,Thursday,Winter
2023-02-09,29,26,352.17,No,Thursday,Winter
2023-02-09,31,26,109.11,No,Thursday,Winter
2023-02-09,39,19,256.18,No,Thursday,Winter
2023-02-10,24,25,297.91,No,Friday,Winter
2023-02-10,27,25,302.7,No,Friday,Winter
2023-02-10,31,24,109.11,No,Friday,Winter
2023-02-10,35,19,376.97,No,Friday,Winter
2023-02-10,35,38,336.88,Yes,Friday,Winter
2023-02-10,35,31,376.97,No,Friday,Winter
2023-02-10,38,20,479.93,No,Friday,Winter
2023-02-10,38,23,479.93,No,Friday,Winter
2023-02-10,42,58,298.29,Yes,Friday,Winter
2023-02-10,48,31,395.46,No,Friday,Winter
2023-02-10,50,38,361.33,Yes,Friday,Winter
2023-02-10,50,17,411.47,No,Friday,Winter
2023-02-11,1,31,268.05,No,Saturday,Winter
2023-02-11,7,36,17.53,No,Saturday,Winter
2023-02-11,7,22,17.53,No,Saturday,Winter
2023-02-11,9,79,239.0,Yes,Saturday,Winter
2023-02-11,16,43,176.15,No,Saturday,Winter
2023-02-11,17,36,357.85,No,Saturday,Winter
2023-02-11,22,27,399.69,No,Saturday,Winter
2023-02-11,23,58,233.18,Yes,Saturday,Winter
2023-02-11,38,31,479.93,No,Saturday,Winter
2023-02-11,39,52,256.18,No,Saturday,Winter
2023-02-11,45,40,14.32,No,Saturday,Winter
2023-02-11,45,32,14.32,No,Saturday,Winter
2023-02-12,2,41,231.26,No,Sunday,Winter
2023-02-12,2,50,231.26,No,Sunday,Winter
2023-02-12,3,29,294.01,No,Sunday,Winter
2023-02-12,7,40,17.53,No,Sunday,Winter
2023-02-12,12,83,66.38,Yes,Sunday,Winter
2023-02-12,20,43,355.47,No,Sunday,Winter
2023-02-12,21,31,121.17,No,Sunday,Winter
2023-02-12,23,83,269.36,Yes,Sunday,Winter
2023-02-12,28,36,241.51,No,Sunday,Winter
2023-02-12,30,34,222.51,No,Sunday,Winter
2023-02-12,31,54,109.11,No,Sunday,Winter
2023-02-12,36,36,399.14,No,Sunday,Winter
2023-02-12,46,41,360.9,No,Sunday,Winter
2023-02-13,11,19,329.15,No,Monday,Winter
2023-02-13,13,16,326.8,No,Monday,Winter
2023-02-13,15,30,377.76,No,Monday,Winter
2023-02-13,16,14,176.15,No,Monday,Winter
2023-02-13,18,20,33.45,No,Monday,Winter
2023-02-13,25,25,183.24,No,Monday,Winter
2023-02-13,37,26,109.21,No,Monday,Winter
2023-02-13,40,26,459.32,No,Monday,Winter
2023-02-13,41,20,356.31,No,Monday,Winter
2023-02-13,44,20,117.8,No,Monday,Winter
2023-02-13,49,22,176.08,No,Monday,Winter
2023-02-14,13,26,326.8,No,Tuesday,Winter
2023-02-14,16,29,176.15,No,Tuesday,Winter
2023-02-14,21,23,121.17,No,Tuesday,Winter
2023-02-14,21,30,121.17,No,Tuesday,Winter
2023-02-14,21,48,85.84,Yes,Tuesday,Winter
2023-02-14,27,25,302.7,No,Tuesday,Winter
2023-02-14,29,23,352.17,No,Tuesday,Winter
2023-02-14,33,34,11.08,Yes,Tuesday,Winter
2023-02-14,38,46,373.99,Yes,Tuesday,Winter
2023-02-15,1,72,209.53,Yes,Wednesday,Winter
2023-02-15,13,24,326.8,No,Wednesday,Winter
2023-02-15,16,17,176.15,No,Wednesday,Winter
2023-02-15,17,23,357.85,No,Wednesday,Winter
2023-02-15,18,14,33.45,No,Wednesday,Winter
2023-02-15,32,28,114.83,No,Wednesday,Winter
2023-02-15,36,25,399.14,No,Wednesday,Winter
2023-02-15,39,24,256.18,No,Wednesday,Winter
2023-02-16,6,24,231.03,No,Thursday,Winter
2023-02-16,7,31,17.53,No,Thursday,Winter
2023-02-16,10,31,232.82,Yes,Thursday,Winter
2023-02-16,13,23,326.8,No,Thursday,Winter
2023-02-16,18,38,24.47,Yes,Thursday,Winter
2023-02-16,21,25,121.17,No,Thursday,Winter
2023-02-16,22,23,399.69,No,Thursday,Winter
2023-02-16,25,20,183.24,No,Thursday,Winter
2023-02-16,27,23,302.7,No,Thursday,Winter
2023-02-16,31,25,109.11,No,Thursday,Winter
2023-02-16,37,23,109.21,No,Thursday,Winter
2023-02-16,37,23,109.21,No,Thursday,Winter
2023-02-16,41,22,356.31,No,Thursday,Winter
2023-02-16,43,20,51.67,No,Thursday,Winter
2023-02-17,3,26,294.01,No,Friday,Winter
2023-02-17,8,20,218.96,No,Friday,Winter
2023-02-17,12,25,85.5,No,Friday,Winter
2023-02-17,19,55,176.73,Yes,Friday,Winter
2023-02-17,26,16,246.4,No,Friday,Winter
2023-02-17,32,28,114.83,No,Friday,Winter
2023-02-17,36,25,399.14,No,Friday,Winter
2023-02-17,47,13,178.77,No,Friday,Winter
2023-02-18,2,58,177.25,Yes,Saturday,Winter
2023-02-18,6,20,231.03,No,Saturday,Winter
2023-02-18,8,65,160.78,Yes,Saturday,Winter
2023-02-18,11,31,329.15,No,Saturday,Winter
2023-02-18,11,47,231.67,Yes,Saturday,Winter
2023-02-18,14,18,99.5,No,Saturday,Winter
2023-02-18,19,43,209.85,No,Saturday,Winter
2023-02-18,26,38,246.4,No,Saturday,Winter
2023-02-18,27,38,302.7,No,Saturday,Winter
2023-02-18,31,29,109.11,No,Saturday,Winter
2023-02-18,35,29,376.97,No,Saturday,Winter
2023-02-18,36,27,399.14,No,Saturday,Winter
2023-02-18,47,50,178.77,No,Saturday,Winter
2023-02-18,49,41,176.08,No,Saturday,Winter
2023-02-19,16,54,125.42,Yes,Sunday,Winter
2023-02-19,19,38,209.85,No,Sunday,Winter
2023-02-19,23,68,239.21,Yes,Sunday,Winter
2023-02-19,27,52,302.7,No,Sunday,Winter
2023-02-19,30,34,222.51,No,Sunday,Winter
2023-02-19,39,38,256.18,No,Sunday,Winter
2023-02-19,40,41,459.32,No,Sunday,Winter
2023-02-19,41,34,356.31,No,Sunday,Winter
2023-02-19,45,23,14.32,No,Sunday,Winter
